id,full_name,weight_class_description,elo,fight_count
616,David Velasquez,Lightweight,988,2
617,Neil Wain,Heavyweight,975,2
618,Cory Walmsley,Light Heavyweight,977,2
619,Christian Wellisch,Light Heavyweight,999,6
620,Ray Wizard,,977,2
621,Brandon Wolff,Welterweight,951,3
622,Pete Williams,Heavyweight,968,9
623,Kit Cope,Welterweight,990,2
624,Denis Kang,Middleweight,1001,4
625,Kerry Schall,Heavyweight,987,2
626,Alexandre Barros,Welterweight,988,2
627,Mike Brown,Featherweight,976,7
629,Floyd Sword,Middleweight,980,2
630,Nick Agallar,Lightweight,976,2
631,Dave Strasser,Welterweight,1014,3
632,Aaron Brink,Light Heavyweight,989,2
633,Yuki Sasaki,Middleweight,975,2
634,Alex Stiebling,Welterweight,975,2
635,Ivan Serati,Light Heavyweight,976,2
636,Tom Egan,Welterweight,975,2
637,John Hathaway,Welterweight,1130,10
638,Michael Patt,Light Heavyweight,962,3
639,Jonathan Wiezorek,Heavyweight,1025,2
640,Ryan Roberts,,978,2
641,Steve Byrnes,Middleweight,975,2
642,Zach Light,Welterweight,986,2
643,Joao Pierini,Welterweight,988,2
644,Ben Earwood,Welterweight,1027,2
645,Dan Cramer,Welterweight,1001,3
646,John Howard,Welterweight,1050,15
647,Mike Ciesnolevicz,Light Heavyweight,1001,3
648,Evan Dunham,Lightweight,1088,22
649,Stefan Struve,Heavyweight,1040,25
650,Brian Cobb,Lightweight,976,2
651,Paulo Thiago,Welterweight,983,14
652,Ryan Madigan,Welterweight,975,2
653,Mark Munoz,Middleweight,1082,16
654,Xavier Foupa-Pokam,Middleweight,961,3
655,TJ Grant,Lightweight,1098,12
656,Tim Hague,Heavyweight,938,6
657,Neil Grove,Heavyweight,975,2
658,Derek Downey,Middleweight,975,2
659,Matt Veach,Lightweight,998,4
660,Jake Rosholt,Middleweight,996,4
661,Denis Stojnic,Heavyweight,953,3
662,Aaron Simpson,Welterweight,1078,12
663,Carlos Condit,Welterweight,1063,20
664,Tim McKenzie,Middleweight,975,2
665,Nissen Osterneck,Middleweight,985,2
666,Jesse Sanders,Welterweight,976,2
667,Brian Stann,Middleweight,1042,12
668,Peter Sobotta,Welterweight,999,11
